"song_spotify_id","genre","tag","popularity"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"bergen";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"party";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Nelly";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"catchy";"6"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Alwayz On Time";"4"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"club";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"KRIS";"3"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"margaret";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"male vocalists";"6"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Jams";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Andy";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"r&b";"8"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"hell";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"RB";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"us number one";"3"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Dancemania";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"duets";"6"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"mixed vocals";"3"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"House";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"Ja Rule ft Ashanti";"7"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"rap";"71"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"jarule";"4"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"1";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"featuring";"2"
"4hrae8atte6cRlSC9a7VCO";"pop rap";"new";"2"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"2000-09SinglesNo1";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"guilty pleasure";"19"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"t";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"fun sex";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"hardcore rap";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"i wanna dance";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"national socialist black metal";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"boogieman981";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"theresnoplacelikehomeatl";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"beat ok  lyrics NO";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dance";"19"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"souljah B";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"top 40";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Superman";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"nostalgia";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"loves it";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"its a party";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"ridiculous";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"comic";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Crank that";"25"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"critically acclaimed song";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dance party";"13"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"2000s";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"YOUUU";"50"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"gangsta";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Fireprincess Jam";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"jyu-pop";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Workout";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"comedy";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Club-Rap";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"8 of 10 stars";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"happy-go-go-go";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"stream";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"alkosovi";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Hip-Hop";"88"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"pop";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"fucking brutal death metal";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Black";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"dobre wspomnienia";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"uliczne historie";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Crunk";"82"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Tell em";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"favorite songs";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"i want to be gangsta";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"hip hop";"32"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"male vocalist";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"mattison";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Soulja Boy";"100"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"music love";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"fresh";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"hip-hop classics";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"russell98";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"Nasty Nasty";"7"
"66TRwr5uJwPt15mfFkzhbi";"pop rap";"00s";"19"
